,life_expect,Electric_consumption,gdp_per_capita,internet_usage,open_defecation,drinking_water_services,adult_obesity,cluster
0,0.3697027839558297,-0.5238734810934517,-0.7342533989120454,-1.066846224886195,-0.4970218218703564,-0.004663356068556201,-0.41569827197424286,2
1,0.40893940101773535,-0.5161857619114231,-0.7116200311314368,-1.0592217730619653,-0.5000455135988887,0.003837351771414005,-0.35480603229190544,2
2,0.4432272555673284,-0.5378377578830277,-0.6929529625468304,-1.056906612650729,-0.5031869443111843,0.03495164628156335,-0.2817353446731005,2
3,0.4725663476046104,-0.48791124629594895,-0.6754832037239473,-1.0359522884389214,-0.5062828065360045,0.0653837206389701,-0.22084310499076307,2
4,0.4974279878450371,-0.5118699263739502,-0.6534203140158314,-0.9837847469315044,-0.509332698099959,0.09512426950405736,-0.14777241737195818,2
5,0.5196974191504423,-0.4396513829979763,-0.6308474383658288,-0.8532836125644905,-0.5123348794604667,0.12413841319563663,-0.07470172975315328,2
6,0.5426738165290367,-0.4562512239818515,-0.5946709893721528,-0.7248498439775477,-0.5152898402925963,0.15243310173864275,-0.0016310421343483862,2
7,0.5689493889158383,-0.5670697602241008,-0.5576949996594068,-0.5294269792565091,-0.5181970219229206,0.17999539425596828,0.08361809342092395,2
8,0.6002915514938179,-0.568221649264467,-0.5089450250199654,-0.21163314065772187,-0.5210559567535397,0.20681378976611645,0.15668878103972908,2
9,0.6367003042629734,-0.4792038973318282,-0.47878307641452167,0.41287017249168234,-0.5238650522885006,0.23285363531179024,0.22975946865853417,2
10,0.6768795427557952,-0.4312563623816699,-0.43670396383897947,0.5497278766420707,-0.5266259005626143,0.2581435935663464,0.30283015627733884,2
11,0.7183548857161286,-0.40757094815766903,-0.40683274975336015,0.6217582472475383,-0.5293373765625419,0.28265754695999146,0.375900843896144,2
12,0.7581806411723566,-0.34985071664290457,-0.39040272950047605,0.7081946919740993,-0.5320000330821514,0.3064034240102577,0.4489715315149487,2
13,0.7937646001894613,-0.36907377038699274,-0.38809655678246924,0.7946311367006604,-0.5346101040330832,0.32929265636323435,0.5220422191337538,2
14,0.8242819690153881,-0.2777888243084882,-0.3525890435844397,0.8846690999574949,-0.5402055553882831,0.3513662225160416,0.5951129067525589,2
15,0.8492614369346798,-0.32704459001570974,-0.3319729256335703,0.9783085817446028,-0.5419532205227338,0.372633314730422,0.6681835943713635,2
21,-0.020895971480259803,-0.691494656099746,-0.4981817669712185,-1.0532465908373587,-0.18891583460853284,0.17116742439642532,-0.14777241737195818,2
22,0.03519000365928118,-0.6847859847081191,-0.4809897589475609,-1.0476855459320016,-0.2129578263123421,0.1862036797552076,-0.08688017768962072,2
23,0.09280773862406236,-0.6791106266316026,-0.4543550206659041,-1.0136322070665735,-0.23634270929364082,0.20099779115387895,-0.013809490070815616,2
24,0.15125026734089453,-0.6743327053150815,-0.41636616754885397,-0.9918891744628254,-0.2590616940722843,0.21554023789357488,0.059261197547989065,2
25,0.20933931302113293,-0.6620993124339867,-0.38690582663049794,-0.9040439829057266,-0.2811220250724382,0.22983309571962304,0.13233188516679417,2
26,0.2656609435184042,-0.6582068108926304,-0.3447517293361786,-0.8604848046391245,-0.3025190101751391,0.24386801164644853,0.20540257278559884,2
27,0.31856557132860136,-0.639172422103155,-0.3252844327907572,-0.8053079970004334,-0.32327315912810356,0.25765930848727514,0.2906517083408716,2
28,0.3674640580574037,-0.6453757122014036,-0.29755556345298767,-0.7305690802540997,-0.3433813936937776,0.2711987236051481,0.3637223959596763,2
29,0.411649437631622,-0.638367503682959,-0.2805761496032356,-0.7043208755991203,-0.36286266893756136,0.2844995859784767,0.4489715315149487,2
30,0.4508860546935276,-0.6267058371957652,-0.2772766112958113,-0.6665049310312497,-0.38166363321877433,0.29749689290081377,0.5463991150066887,2
31,0.4855273922797144,-0.6445226028819535,-0.25779192116840943,-0.6207656456967778,-0.3998277148652741,0.3102216720200707,0.6316482505619609,2
32,0.5162804164633699,-0.6114495976727558,-0.23699411129532058,-0.5343292009702166,-0.4173621187006645,0.32266705343178637,0.729075834053701,2
33,0.5442055763542769,-0.5879760795584135,-0.2471421611299522,-0.41547908947119516,-0.43429142733567916,0.3357473890307314,0.8386818654819087,2
34,0.5707168040988072,-0.562756380585219,-0.25985963771509946,-0.2606137926694398,-0.4506331341887825,0.34857206758453474,0.9361094489736482,2
35,0.5962854104124213,-0.5537474297618361,-0.2626213843374137,-0.008507495550303223,-0.4664132906653434,0.3611565483670428,1.0457154804018558,2
36,0.6212648783317132,-0.5352766782791527,-0.31357004387724136,0.3048246165834809,-0.48164706061016804,0.3734990812288978,1.155321511830063,2
42,-2.862663930336252,-0.8192925711831905,-0.7646656961384343,-1.0671722266002905,1.922685653759515,-2.5963710509923077,-1.609186169748057,1
43,-2.7993904667859715,-0.8185547189138478,-0.7594450709292149,-1.066056897357204,1.8390065304041716,-2.533276547733653,-1.5970077218115895,1
44,-2.723627269276045,-0.816937273128492,-0.7391642716486396,-1.06121779337221,1.7548227713835987,-2.4695141641823883,-1.5726508259386545,1
45,-2.6366704422739833,-0.8161887622834643,-0.736185562570144,-1.0576052787215753,1.670217861829701,-2.413425592903515,-1.5482939300657195,1
46,-2.5396982625684323,-0.8140251878408409,-0.7163406300390253,-1.054215077382261,1.585166071753023,-2.3573150447491265,-1.5239370341927847,1
47,-2.433417696232579,-0.8158551267218361,-0.6848345200997762,-1.0297768938375464,1.499867735611197,-2.301362283924004,-1.4995801383198495,1
48,-2.3181822263030174,-0.8110678783279527,-0.6577282814139499,-1.0169326840268496,1.4258173804811771,-2.255096431033251,-1.4752232424469147,1
49,-2.19634840635704,-0.8032753330427249,-0.6222746872883206,-1.0097296469663029,1.351557530309426,-2.208999207874332,-1.4508663465739795,1
50,-2.070744100687395,-0.8057939468533081,-0.5937268286305731,-1.0025266099057561,1.2770327667901373,-2.1630331686379702,-1.4143310027645772,1
